"Notes"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Jan., 2018"	"2018/01"	"Pneumonia (J12-J18)"	"GR113-078"	7019	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	77	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	57	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	20	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18271	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	86	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Emphysema (J43)"	"GR113-084"	829	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Asthma (J45-J46)"	"GR113-085"	396	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	16960	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Pneumoconioses and chemical effects (J60-J66,J68)"	"GR113-087"	68	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	2192	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	4603	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Peptic ulcer (K25-K28)"	"GR113-090"	329	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Diseases of appendix (K35-K38)"	"GR113-091"	30	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Hernia (K40-K46)"	"GR113-092"	204	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	3948	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Alcoholic liver disease (K70)"	"GR113-094"	2095	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	1853	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	353	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	5346	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	73	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	25	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Renal failure (N17-N19)"	"GR113-100"	5245	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other disorders of kidney (N25,N27)"	"GR113-101"	3	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	84	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Hyperplasia of prostate (N40)"	"GR113-103"	54	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	12	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	89	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	5	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	84	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	934	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	917	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	3138	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"All other diseases (Residual) "	"GR113-111"	35313	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	14748	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	3191	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	3010	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	73	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	108	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	11557	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Falls (W00-W19)"	"GR113-118"	3569	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	47	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	177	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	506	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	5366	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	1892	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	3966	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	2169	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	1797	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	1674	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	1267	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	407	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	51	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	489	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	37	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	452	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	2	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	396	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	597	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Salmonella infections (A01-A02)"	"GR113-001"	4	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	1	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	729	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Tuberculosis (A16-A19)"	"GR113-004"	60	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Respiratory tuberculosis (A16)"	"GR113-005"	42	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other tuberculosis (A17-A19)"	"GR113-006"	18	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Meningococcal infection (A39)"	"GR113-009"	4	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Septicemia (A40-A41)"	"GR113-010"	3660	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Syphilis (A50-A53)"	"GR113-011"	8	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Viral hepatitis (B15-B19)"	"GR113-015"	427	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	455	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	876	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	46447	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	773	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	1234	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	833	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	4074	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	2148	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	3302	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	285	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	11135	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant melanoma of skin (C43)"	"GR113-028"	634	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of breast (C50)"	"GR113-029"	3329	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	319	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	826	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	1087	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	2455	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	1139	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	1305	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	1344	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	4595	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Hodgkin disease (C81)"	"GR113-038"	75	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	1639	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Leukemia (C91-C95)"	"GR113-040"	1842	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	1030	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	9	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	5630	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	1251	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Anemias (D50-D64)"	"GR113-045"	439	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	7028	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	756	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malnutrition (E40-E46)"	"GR113-048"	735	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	21	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Meningitis (G00,G03)"	"GR113-050"	65	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Parkinson disease (G20-G21)"	"GR113-051"	2789	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Alzheimer disease (G30)"	"GR113-052"	10623	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	72061	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	54673	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	280	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Hypertensive heart disease (I11)"	"GR113-056"	4224	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	641	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	30574	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	9122	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	384	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	21068	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	5330	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	15738	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other heart diseases (I26-I51)"	"GR113-064"	18954	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Acute and subacute endocarditis (I33)"	"GR113-065"	144	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	70	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Heart failure (I50)"	"GR113-067"	6913	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	11827	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	3062	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	12176	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Atherosclerosis (I70)"	"GR113-071"	496	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	1654	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	820	Not Applicable	Not Applicable
