"Name","NAICS","NF Incidence - Total","NF Cases - Total","F Cases - Total"
"Resin, synthetic rubber,/artificial synthetic fibers/filaments manufacturing","3252",1.8,1700,NA
"Pesticide, fertilizer,/other agricultural chemical manufacturing","3253",2.9,1000,NA
"Pharmaceutical/medicine manufacturing","3254",1.6,4600,NA
"Paint, coating,/adhesive manufacturing","3255",2.8,1800,4
"Soap, cleaning compound,/toilet preparation manufacturing","3256",2.7,2900,NA
"Other chemical product/preparation manufacturing","3259",2.2,1900,3
"Plastics product manufacturing","3261",3.8,22200,7
"Rubber product manufacturing","3262",3.9,5500,5
"Clay product/refractory manufacturing","3271",4.5,1800,NA
"Glass/glass product manufacturing","3272",4.5,4000,5
"Cement/concrete product manufacturing","3273",4.4,8900,18
"Lime/gypsum product manufacturing","3274",2.7,400,1
"Other nonmetallic mineral product manufacturing","3279",3.7,3000,5
"Iron/steel mills/ferroalloy manufacturing","3311",2.7,2500,NA
"Steel product manufacturing from purchased steel","3312",4.7,2800,5
"Alumina/aluminum production/processing","3313",3.4,2100,5
"Nonferrous metal production/processing","3314",4.5,2900,NA
"Foundries","3315",6.6,8200,4
"Forging/stamping","3321",5.5,5500,NA
"Cutlery/handtool manufacturing","3322",3.3,1200,1
"Architectural/structural metals manufacturing","3323",4.7,18200,21
"Boiler, tank,/shipping container manufacturing","3324",3.6,3300,NA
"Hardware manufacturing","3325",4.1,1000,1
"Spring/wire product manufacturing","3326",3.9,1700,NA
"Machine shops; turned product;/screw, nut,/bolt manufacturing","3327",3.9,13800,12
"Coating, engraving, heat treating,/allied activities","3328",4.6,6400,6
"Other fabricated metal product manufacturing","3329",3.4,9200,12
"Agriculture, construction,/mining machinery manufacturing","3331",3.7,8000,11
"Industrial machinery manufacturing","3332",2.7,3200,6
"Commercial/service industry machinery manufacturing","3333",3,2700,2
"Ventilation, heating, air-conditioning,/commercial refrigeration equipment manufacturing","3334",2.9,3800,NA
"Metalworking machinery manufacturing","3335",3.7,7000,5
"Engine, turbine,/power transmission equipment manufacturing","3336",2.4,2300,NA
"Other general purpose machinery manufacturing","3339",3.3,8900,13
"Computer/peripheral equipment manufacturing","3341",0.7,1000,NA
"Communications equipment manufacturing","3342",1.4,1200,3
"Audio/video equipment manufacturing","3343",1.7,300,NA
"Semiconductor/other electronic component manufacturing","3344",1.2,4300,NA
"Navigational, measuring, electromedical,/control instruments manufacturing","3345",1.3,5100,NA
"Manufacturing/reproducing magnetic/optical media","3346",0.9,100,NA
"Electric lighting equipment manufacturing","3351",2.8,1200,NA
"Household appliance manufacturing","3352",2.8,1700,NA
"Electrical equipment manufacturing","3353",2.3,3300,NA
"Other electrical equipment/component manufacturing","3359",2.6,3700,NA
"Motor vehicle manufacturing","3361",6.3,13900,3
"Motor vehicle body/trailer manufacturing","3362",7.2,11900,4
"Motor vehicle parts manufacturing","3363",3.4,21300,10
"Aerospace product/parts manufacturing","3364",2.1,10300,5
"Railroad rolling stock manufacturing","3365",3.1,700,3
"Ship/boat building","3366",5.1,7000,7
"Other transportation equipment manufacturing","3369",2.1,700,NA
"Household/institutional furniture/kitchen cabinet manufacturing","3371",4.6,11200,3
"Office furniture manufacturing","3372",3.8,4100,NA
"Other furniture related product manufacturing","3379",2.6,900,NA
"Medical equipment/supplies manufacturing","3391",1.9,6000,1
"Other miscellaneous manufacturing","3399",2.6,7300,4
